timestamp,step,pair_name,spot_symbol,future_symbol,signal,status,failure_reason,spot_bid,spot_ask,spot_bid_size,spot_ask_size,future_bid,future_ask,future_bid_size,future_ask_size,long_spot_short_future_pct,short_spot_long_future_pct,mid_basis_pct,long_spot_short_future_ticks,short_spot_long_future_ticks,pricing_spot_tick_size,pricing_future_tick_size,position_quantity,position_direction,spot_tick_size,future_tick_size,time
1779338566259528000,13366,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:46.259528+08:00
1779338567259528000,13367,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:47.259528+08:00
1779338568259528000,13368,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:48.259528+08:00
1779338569259528000,13369,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:49.259528+08:00
1779338570259528000,13370,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:50.259528+08:00
1779338571259528000,13371,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:51.259528+08:00
1779338572259528000,13372,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:52.259528+08:00
1779338573259528000,13373,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,79.0,46.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:53.259528+08:00
1779338574259528000,13374,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,79.0,46.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:54.259528+08:00
1779338575259528000,13375,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,79.0,46.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:55.259528+08:00
1779338576259528000,13376,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,79.0,46.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:56.259528+08:00
1779338577259528000,13377,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,79.0,46.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:57.259528+08:00
1779338578259528000,13378,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,81.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:58.259528+08:00
1779338579259528000,13379,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,81.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:59.259528+08:00
1779338580259528000,13380,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,81.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:43:00.259528+08:00
1779338581259528000,13381,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,81.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:43:01.259528+08:00
1779338582259528000,13382,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,81.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:43:02.259528+08:00
1779338583259528000,13383,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,82.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:43:03.259528+08:00
1779338584259528000,13384,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,82.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:43:04.259528+08:00
1779338585259528000,13385,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,82.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:43:05.259528+08:00
1779338586259528000,13386,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,82.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:43:06.259528+08:00
1779338587259528000,13387,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,82.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:43:07.259528+08:00
1779338588259528000,13388,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,82.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:43:08.259528+08:00
1779338589259528000,13389,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,82.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:43:09.259528+08:00
